region,group,metric,approx_unique_vins
LIPA,53,EV,23082
LIPA,54,ALL,2561650
LIPA,54,EV,23876
LIPA,55,ALL,2574455
LIPA,55,EV,24726
LIPA,56,ALL,2576417
LIPA,56,EV,25289
LIPA,57,ALL,2579303
LIPA,57,EV,25868
LIPA,58,ALL,2532595
LIPA,58,EV,26725
LIPA,59,ALL,2538736
LIPA,59,EV,27132
LIPA,6,ALL,2449594
LIPA,6,EV,4730
LIPA,60,ALL,2537619
LIPA,60,EV,27798
LIPA,61,ALL,2548486
LIPA,61,EV,28886
LIPA,62,ALL,2526616
LIPA,62,EV,29351
LIPA,63,ALL,2554566
LIPA,63,EV,30107
LIPA,64,ALL,2565484
LIPA,64,EV,31268
LIPA,65,ALL,2569650
LIPA,65,EV,31833
LIPA,66,ALL,2569034
LIPA,66,EV,32680
LIPA,67,ALL,2576987
LIPA,67,EV,33369
LIPA,68,ALL,2412629
LIPA,68,EV,34150
LIPA,69,ALL,2412650
LIPA,69,EV,34780
LIPA,7,ALL,2391939
LIPA,7,EV,6701
LIPA,70,ALL,2413926
LIPA,70,EV,35523
LIPA,71,ALL,2410622
LIPA,71,EV,36535
LIPA,72,ALL,2406032
LIPA,72,EV,37494
LIPA,73,ALL,2408379
LIPA,73,EV,38445
LIPA,74,ALL,2393562
LIPA,74,EV,39583
LIPA,75,ALL,2409129
LIPA,75,EV,40880
LIPA,76,ALL,2419719
LIPA,76,EV,42248
LIPA,77,ALL,2418903
LIPA,77,EV,43988
LIPA,78,ALL,2418862
LIPA,78,EV,45486
LIPA,79,ALL,2420261
LIPA,79,EV,46958
LIPA,8,ALL,2398302
LIPA,8,EV,6872
LIPA,80,ALL,2420316
LIPA,80,EV,48707
LIPA,81,ALL,2420488
LIPA,81,EV,49878
LIPA,82,ALL,2421392
LIPA,82,EV,51525
LIPA,83,ALL,2415544
LIPA,83,EV,53432
LIPA,84,ALL,2400732
LIPA,84,EV,54193
LIPA,85,ALL,2398355
LIPA,85,EV,55440
LIPA,86,ALL,2375818
LIPA,86,EV,57631
LIPA,87,ALL,2392720
LIPA,87,EV,59202
LIPA,88,ALL,2408276
LIPA,88,EV,61661
LIPA,89,ALL,2411270
LIPA,89,EV,63377
LIPA,9,ALL,2395952
LIPA,9,EV,7125
LIPA,90,ALL,2413775
LIPA,90,EV,64858
LIPA,91,ALL,2413298
LIPA,91,EV,66154
LIPA,92,ALL,2416490
LIPA,92,EV,68172
LIPA,93,ALL,2416231
LIPA,93,EV,69738
LIPA,94,ALL,2419499
LIPA,94,EV,71754
LIPA,95,ALL,2420910
LIPA,95,EV,73714
LIPA,96,ALL,2417698
LIPA,96,EV,74860
LIPA,97,ALL,2416833
LIPA,97,EV,76171
LIPA,98,ALL,2410788
LIPA,98,EV,77835
LIPA,99,ALL,2414098
LIPA,99,EV,79103
