DMV_ID,snapshot_date,date,ev_count_total,ev_count_priced,coverage_pct,avg_msrp_ev_stock_t,avg_msrp_bev_stock_t,avg_msrp_phev_stock_t,bev_count_priced,phev_count_priced
77,2023-08-02,2023-08-01,43924,40358,91.8814,54895.36,61194.8,43343.9,26116,14242
78,2023-09-02,2023-09-01,45425,41706,91.8129,54850.43,61001.57,43730.83,26852,14854
79,2023-10-02,2023-10-01,46913,43111,91.8956,54725.19,60750.6,44112.02,27499,15612
80,2023-11-02,2023-11-01,48593,44598,91.7787,54697.52,60578.69,44451.76,28334,16264
81,2023-12-02,2023-12-01,49841,45661,91.6133,54691.22,60488.72,44726.9,28866,16795
82,2024-01-02,2024-01-01,51535,47121,91.4349,54623.67,60224.2,44949.4,29844,17277
83,2024-02-02,2024-02-01,53433,48838,91.4004,54605.27,59982.99,45237.19,31027,17811
84,2024-03-02,2024-03-01,54228,49533,91.3421,54535.82,59798.91,45453.65,31360,18173
85,2024-04-02,2024-04-01,55492,50617,91.2149,54421.09,59520.33,45750.87,31872,18745
86,2024-05-02,2024-05-01,57655,52565,91.1716,54375.1,59333.31,46018.98,32990,19575
87,2024-06-02,2024-06-01,59221,53898,91.0116,54320.02,59186.83,46180.52,33730,20168
88,2024-07-02,2024-07-01,61491,55949,90.9873,54191.52,58865.35,46297.03,35143,20806
89,2024-08-02,2024-08-01,63117,57340,90.8472,54187.09,58740.32,46415.84,36156,21184
90,2024-09-02,2024-09-01,64882,58782,90.5983,54116.15,58497.32,46498.89,37318,21464
91,2024-10-02,2024-10-01,66270,59918,90.415,54060.74,58323.97,46595.04,38139,21779
92,2024-11-02,2024-11-01,68171,61434,90.1175,54078.32,58207.47,46777.77,39240,22194
93,2024-12-02,2024-12-01,69535,62550,89.9547,54098.94,58097.56,47015.38,39981,22569
94,2025-01-02,2025-01-01,71547,64158,89.6725,54078.82,57870.86,47317.37,41105,23053
95,2025-02-05,2025-02-01,73568,65712,89.3214,54093.87,57739.78,47565.25,42165,23547
96,2025-03-05,2025-03-01,74681,66503,89.0494,54087.38,57650.2,47667.55,42768,23735
97,2025-04-03,2025-04-01,75953,67280,88.5811,54066.29,57502.39,47844.11,43344,23936
98,2025-05-03,2025-05-01,77663,68078,87.6582,54068.85,57403.55,48021.78,43880,24198
99,2025-06-10,2025-06-01,78852,68464,86.826,54116.06,57387.1,48173.39,44158,24306
100,2025-07-07,2025-07-01,80159,68825,85.8606,54128.88,57322.88,48364.62,44286,24539
101,2025-08-08,2025-08-01,82208,69596,84.6584,54139.93,57274.1,48583.83,44496,25100
102,2025-09-08,2025-09-01,83817,69980,83.4914,54139.34,57230.9,48702.21,44613,25367
