DMV_ID,date,stock_all_t,stock_ev_t,flow_ev_t,gas_price_t,elec_price_t,C_gas_t,C_ev_t,tco_adv_t,adopt_ev_t,adopt_ev_cum_t,adopt_ev_cum_prev
64,2022-07-01,2565484,31268,1387,4.49,0.2504843537414966,0.16035714285714286,0.07514530612244898,0.08521183673469389,1387.0,44864.0,43477.0
65,2022-08-01,2569650,31833,777,3.971,0.2424780045351474,0.14182142857142857,0.07274340136054422,0.06907802721088435,777.0,45641.0,44864.0
66,2022-09-01,2569034,32680,1138,3.456,0.27450340136054424,0.12342857142857143,0.08235102040816326,0.041077551020408165,1138.0,46779.0,45641.0
67,2022-10-02,2576987,33369,1186,3.453,0.266497052154195,0.12332142857142857,0.07994911564625849,0.043372312925170076,1186.0,47965.0,46779.0
68,2022-11-02,2412629,34150,992,3.68,0.2710721088435374,0.13142857142857142,0.08132163265306121,0.050106938775510215,992.0,48957.0,47965.0
69,2022-12-02,2412650,34780,1010,3.246,0.26077823129251704,0.11592857142857142,0.0782334693877551,0.03769510204081632,1010.0,49967.0,48957.0
70,2023-01-03,2413926,35523,1268,3.266,0.23740996128256214,0.11664285714285715,0.07122298838476863,0.04541986875808851,1268.0,51235.0,49967.0
71,2023-02-03,2410622,36535,1293,3.281,0.2377121377288276,0.11717857142857144,0.07131364131864827,0.045864930109923166,1293.0,52528.0,51235.0
72,2023-03-02,2406032,37494,1212,3.258,0.21333657106341392,0.11635714285714285,0.06400097131902417,0.05235617153811868,1212.0,53740.0,52528.0
73,2023-04-02,2408379,38445,1407,3.436,0.19953718001729126,0.1227142857142857,0.05986115400518738,0.06285313170909833,1407.0,55147.0,53740.0
74,2023-05-02,2393562,39583,1398,3.483,0.20618506183513138,0.12439285714285715,0.06185551855053941,0.06253733859231775,1398.0,56545.0,55147.0
75,2023-06-02,2409129,40880,1718,3.496,0.2178692177573958,0.12485714285714286,0.06536076532721874,0.05949637752992412,1718.0,58263.0,56545.0
76,2023-07-02,2419719,42248,1759,3.538,0.2243156486110589,0.12635714285714286,0.06729469458331767,0.05906244827382519,1759.0,60022.0,58263.0
77,2023-08-02,2418903,43988,2001,3.773,0.2249200015035898,0.13475,0.06747600045107693,0.06727399954892307,2001.0,62023.0,60022.0
78,2023-09-02,2418862,45486,1945,3.72,0.2339852948915536,0.13285714285714287,0.07019558846746607,0.0626615543896768,1945.0,63968.0,62023.0
79,2023-10-02,2420261,46958,2100,3.56,0.22864684434086383,0.12714285714285714,0.06859405330225915,0.05854880384059799,2100.0,66068.0,63968.0
80,2023-11-02,2420316,48707,1996,3.322,0.22884829530504078,0.11864285714285715,0.06865448859151223,0.04998836855134492,1996.0,68064.0,66068.0
81,2023-12-02,2420488,49878,1750,3.156,0.22683378566327106,0.11271428571428573,0.06805013569898131,0.04466415001530441,1750.0,69814.0,68064.0
82,2024-01-02,2421392,51525,2295,3.032,0.2369800637794466,0.10828571428571429,0.07109401913383398,0.03719169515188031,2295.0,72109.0,69814.0
83,2024-02-02,2415544,53432,2516,3.103,0.24496701985392455,0.11082142857142858,0.07349010595617736,0.037331322615251225,2516.0,74625.0,72109.0
84,2024-03-02,2400732,54193,1709,3.239,0.23900207797551698,0.11567857142857142,0.0717006233926551,0.04397794803591633,1709.0,76334.0,74625.0
85,2024-04-02,2398355,55440,2202,3.434,0.23222833041868124,0.12264285714285715,0.06966849912560437,0.05297435801725278,2202.0,78536.0,76334.0
86,2024-05-02,2375818,57631,2549,3.549,0.23859767513630292,0.12675,0.07157930254089087,0.05517069745910913,2549.0,81085.0,78536.0
87,2024-06-02,2392720,59202,2268,3.384,0.24779783972842306,0.12085714285714286,0.07433935191852692,0.04651779093861594,2268.0,83353.0,81085.0
88,2024-07-02,2408276,61661,2717,3.417,0.25285287521859895,0.12203571428571428,0.07585586256557968,0.0461798517201346,2717.0,86070.0,83353.0
89,2024-08-02,2411270,63377,2240,3.301,0.2548748894146693,0.11789285714285715,0.07646246682440079,0.041430390318456356,2240.0,88310.0,86070.0
