date,DMV_ID,is_train,stock_ev_t_obs,flow_ev_t_obs,adopt_ev_cum_t_obs,stock_ev_t_hat_fit,flow_ev_t_hat_fit,stock_ev_t_hat_anchor,flow_ev_t_hat_anchor,stock_ev_t_hat_cov_fit,flow_ev_t_hat_cov_fit,stock_ev_t_hat_cov_anchor,flow_ev_t_hat_cov_anchor,stock_ev_t_hat_cov_policy_fit,flow_ev_t_hat_cov_policy_fit,stock_ev_t_hat_cov_policy_anchor,flow_ev_t_hat_cov_policy_anchor
2017-07-01,7.0,1,6701.0,297.0,9571.0,9045.582212997375,367.5252752021928,,,9040.565877110464,366.65372840823517,,,9184.604481097276,368.67094400729246,,
2017-08-01,8.0,1,6872.0,410.0,9981.0,9313.588345171398,377.9746079725996,,,9308.09939423075,377.44100858434,,,9453.376711895351,380.4308207943893,,
2017-09-01,9.0,1,7125.0,319.0,10300.0,9592.683975845843,392.3222965116315,,,9588.037708624026,393.0982502450995,,,9739.005882098503,400.55526381193084,,
2017-10-01,,1,,306.0,10606.0,9879.48777364209,403.42347033931355,,,9874.841370521739,403.3668490855561,,,10028.786332594771,408.1789800136767,,
2017-11-01,10.0,1,7637.0,327.0,10933.0,10173.402618672093,414.0212336024294,,,10169.229214033072,414.4377450763906,,,10329.051104922772,422.1862054802367,,
2017-12-01,,1,,375.0,11308.0,10475.014148177232,425.29108415592486,,,10471.377808656069,425.77741257864875,,,10637.268025219319,433.7887165289481,,
2018-01-01,11.0,1,8011.0,305.0,11613.0,10785.81286640983,438.14500868898887,,,10782.473768189115,438.39804247407716,,,10954.040882232815,446.09169176063483,,
2018-02-01,,1,,274.0,11887.0,11103.23236483665,448.5442146958786,,,11100.237376182147,448.84773035302015,,,11277.60551485452,456.7345216669402,,
2018-03-01,12.0,1,8430.0,360.0,12247.0,11426.092869929644,457.84413697509007,,,11423.523328477757,458.2331736593287,,,11607.038447296864,466.53644440248513,,
2018-04-01,13.0,1,8668.0,278.0,12525.0,11757.186310396379,470.0021350816245,,,11755.680141490424,471.0342693335145,,,11948.019755098543,482.0897844623226,,
2018-05-01,14.0,1,8901.0,241.0,12766.0,12093.59596758417,479.3435035439071,,,12093.746925134597,480.98231928296497,,,12296.85399035345,494.08807191690687,,
2018-06-01,15.0,1,9162.0,459.0,13225.0,12433.980573797511,487.4082343406776,,,12435.322011253691,488.6005494596195,,,12647.519700100527,500.1603756065901,,
2018-07-01,16.0,1,9424.0,412.0,13637.0,12785.501173146746,502.68233328880115,,,12787.6596274711,503.5156582097864,,,13007.328019084616,513.5660795463735,,
2018-08-01,17.0,1,9599.0,433.0,14070.0,13146.362653542456,516.2967020569052,,,13149.36065222141,517.1624870587674,,,13376.268135393599,527.0721196216609,,
2018-09-01,18.0,1,9887.0,493.0,14563.0,13517.047801204406,530.5074155120029,,,13520.6588973879,531.1569601282307,,,13753.739096418389,540.0882236934824,,
